taxonomic_name,common_name,water,preferred_ph_lower,preferred_ph_upper,nutrients,temperature_class,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,water_code,nutrients_code,temperature_class_code
Scorzonera hispanica,Scorzonera (Black salsify),medium,6.0,7.0,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,4
Allium cepa (var. aggregatum),Shallots,medium,6.0,7.0,low,very hardy,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,5
Rumex acetosa,Sorrel,medium,5.5,7.0,medium,very hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,3,2,5
Glycine max,Soybean,medium,6.0,7.0,medium,half hardy,False,False,False,False,True,False,False,False,False,False,False,False,False,3,2,3
Spinacia oleracea,Spinach,medium,6.0,7.5,medium,half hardy,False,True,False,False,False,False,False,False,False,False,True,False,False,3,2,3
Tetragonia tetragonioides,Spinach (New Zealand),medium,6.5,7.0,low,tender,False,False,False,False,False,True,False,False,False,False,True,False,False,3,1,2
Beta vulgaris (subsp.cicla),Spinach (Perpetual),medium,6.0,7.0,low,very hardy,False,True,False,False,False,False,False,False,False,False,True,False,False,3,1,5
Cucurbita maxima,Squash (Winter),medium,5.5,7.0,high,tender,False,False,True,False,False,False,False,False,False,False,False,False,False,3,4,2
Brassica napus,Swede / Rutabaga,medium,5.5,7.0,low,hardy,True,False,False,False,False,False,False,False,False,False,True,False,False,3,1,4
Ipomoea batatas,Sweet Potato,medium,5.5,6.0,medium,half hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,3
Zea mayvar. Saccharata,Sweetcorn,high,6.0,7.0,low,tender,False,False,False,False,False,True,False,False,False,False,False,False,False,4,1,2
Beta vulgari (subsp. vulgaris),Swiss Chard,medium,6.0,7.5,low,very hardy,False,True,False,False,False,False,False,False,False,False,True,False,False,3,1,5
Brassica rapa (subsp. narinosa),Tatsoi,medium,6.0,7.5,medium,very hardy,True,False,False,False,False,False,False,False,False,False,False,False,False,3,2,5
Solanum lycopersicum (var. cerasiforme),Tomato (Cherry),medium,5.5,7.5,high,tender,False,False,False,False,False,False,False,False,True,False,False,False,False,3,4,2
Solanum lycopersicum,Tomato (Regular),medium,5.5,7.5,high,tender,False,False,False,False,False,False,False,False,True,False,False,False,False,3,4,2
Pisum sativum (subsp. arvense (L.) Asch),Winter Peas,low,6.0,7.0,medium,very hardy,False,False,False,False,True,False,False,False,False,False,False,False,False,1,2,5
Ocimum basilicum,Basil,high,5.5,6.5,low,very tender,False,False,False,True,False,False,False,False,False,False,False,False,False,4,1,1
Laurus nobilis,Bay,low,5.5,6.5,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,4
Borago officinalis,Borage,medium,5.5,6.5,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,4
Capsicum chinense,Bonnet Pepper,medium,7.0,8.5,medium,tender,False,False,False,False,False,False,False,True,False,False,False,False,False,3,2,2
Matricaria recutita,Chamomile (German chamomile),low,5.5,7.5,low,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,1,1,4
Prunus dulcis,Almond,medium,6.0,7.0,medium,tender,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,2
Malus,Apple,medium,6.0,7.5,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Prunus armeniaca,Apricot,medium,6.5,8.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Rubus fruticosus agg.,Blackberry,medium,6.0,7.0,low,very hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,5
Ribes nigrum,Blackcurrant,medium,6.0,7.0,medium,very hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,5
Vaccinium corymbosum,Blueberry,medium,5.0,6.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Prunus avium,Cherry,medium,6.0,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Ficus carica,Fig,medium,6.0,6.5,high,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,3,4,4
Ribes grossularia,Gooseberry,medium,6.0,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Vitis vinifera,Grape,medium,6.0,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Corylus avellana,Hazel,medium,6.5,7.5,medium,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,3,2,4
Humulus lupulus,Hops,medium,6.5,8.0,high,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,4,4
Actinidia callosa,Kiwi,medium,5.5,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Citrus limon,Lemon,medium,5.5,7.0,medium,tender,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,2
Citrus aurantiifolia,Lime,medium,5.5,7.0,medium,tender,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,2
Rubus loganobaccus,Loganberry,medium,5.5,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,3,2,4
Prunus persica var. nucipersica,Nectarine,medium,5.5,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Citrus reticulata,Orange,medium,5.5,7.0,medium,tender,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,2
Prunus persica,Peach,medium,6.0,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Pyrus communis,Pear,medium,6.0,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Diospyros chinensis,Persimmon,medium,5.5,6.5,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,4
Prunus domestica,Plum,medium,6.0,8.0,medium to high,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,3,4
Punica granatum,Pomagranate,medium,5.0,6.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Rubus idaeus,Raspberry,medium,5.5,6.5,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,4
Ribes rubrum,Redcurrant,medium,6.0,7.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Juglans,Walnut,medium,5.5,7.5,medium,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,3,2,4
Castanea sativa,Chestnut,medium,5.5,6.0,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Lonicera caerulea,Honey Berry,medium,5.0,7.0,medium,very hardy,False,False,False,False,False,True,False,False,False,False,False,False,True,3,2,5
Calendula officinalis,Calendula,medium,5.5,7.0,low,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,3,1,4
Nepeta cataria,Catnip,low,6.0,7.5,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,4
Chamaemelum nobile,Chamomile (Roman chamomile),low,5.5,7.5,low,hardy,False,False,False,False,False,True,False,False,False,False,True,False,False,1,1,4
Valeriana officinalis,Valerian,medium,5.5,7.0,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,4
Symphytum officinale,Comfrey,medium,6.0,7.0,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,True,3,1,4
Coriandrum sativum,Coriander,medium,6.0,7.0,low,hardy,False,False,False,False,False,False,False,False,False,True,False,False,False,3,1,4
Anethum graveolens,Dill,medium,5.5,7.0,medium,hardy,False,False,False,False,False,False,False,False,False,True,False,False,False,3,2,4
Thymus vulgaris,Thyme,low,5.5,7.0,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,4
Tanacetum parthenium,Feverfew,low,6.0,8.0,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,4
Armoracia rusticana,Horseradish,medium,5.0,7.5,medium,very hardy,True,False,False,False,False,False,False,False,False,False,False,False,False,3,2,5
Cymbopogon citratus,Lemon Grass,high,5.0,8.0,low,very tender,False,False,False,False,False,True,False,False,False,False,False,False,False,4,1,1
Origanum majorana,Marjoram,low,6.0,8.0,low,hardy,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,4
Mentha spicata,Mint,low,7.0,8.0,low,very hardy,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,5
Origanum vulgare,Oregano,low,6.0,7.0,low,hardy,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,4
Petroselinum crispum,Parsley,medium,5.0,7.0,medium,hardy,False,False,False,False,False,False,False,False,False,True,True,False,False,3,2,4
Rosmarinus officinalis,Rosemary,low,5.0,6.0,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,4
Salvia officinalis,Sage,low,5.5,6.5,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,4
Artemisia dracunculus,Tarragon (French),low,6.5,7.5,low,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1,4
Fragaria ananassa,Strawberry,medium,5.5,6.5,medium,hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,2,4
Melissa officinalis,Lemon balm,medium,6.0,7.5,low,very hardy,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,5
