,common_name,temperature_germination,temperature_growing,days_germination,days_harvest,ph_range,ph,chalk,clay,loam,peat,sand,silt,water_code,nutrients_code,temperature_class_code,cultivation_brassica,cultivation_chenopodiaceae,cultivation_cucurbit,cultivation_lamiaceae,cultivation_legume,cultivation_miscellaneous,cultivation_salad,cultivation_solanaceae,cultivation_solanum,cultivation_umbelliferae,sunlight_full sun/partial shade,sunlight_full sun/partial shade/full shade,sunlight_partial shade,season_biennial,season_mixed,season_perenial,season_perennial,season_unknown
33,Carrot,26.0,18.5,4.0,70.0,1.5,6.25,0,0,0,0,1,0,4,1,4,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
34,Celeriac,22.5,16.5,11.0,105.0,1.0,6.0,0,0,0,0,0,0,4,2,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
35,Chilli Pepper,30.0,17.0,10.0,75.0,1.5,7.75,0,0,0,0,1,0,3,4,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
36,Chives,21.0,17.0,10.0,70.0,1.5,6.75,0,1,0,1,0,0,3,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
37,Cress,14.0,14.0,5.0,9.0,1.0,6.5,0,0,0,0,0,0,3,1,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
38,Endive,21.0,17.5,6.0,77.5,1.0,6.5,0,0,0,0,0,0,3,1,3,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
39,Fennel,21.0,22.5,7.0,80.0,1.0,6.5,0,0,0,0,0,0,3,4,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
40,Garlic,26.0,18.5,4.0,70.0,2.0,6.5,0,0,0,0,0,0,3,1,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41,Ginger,26.0,18.5,4.0,240.0,1.0,5.5,0,0,0,0,0,0,4,2,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
42,Kohlrabi,26.0,18.5,4.0,75.0,1.5,6.75,0,0,0,0,0,0,3,2,5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
43,Leek,21.0,18.5,7.0,117.5,1.0,7.0,0,0,0,0,0,0,3,2,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
44,Lettuce (Lambs/Corn Salad),13.0,15.5,7.0,45.0,1.0,6.5,0,0,0,0,0,0,4,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
45,Lettuce (Loose Leaf),24.0,15.5,4.0,60.0,1.0,6.5,0,0,0,0,0,0,4,2,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
46,Winter Purslane (Miners lettuce),10.0,15.5,4.0,60.0,1.0,6.5,0,0,0,0,0,0,4,2,5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
47,Mangetout,11.0,14.0,6.0,110.0,1.0,6.5,0,0,0,0,0,0,3,2,3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
48,Marrow,21.0,18.5,7.0,87.5,1.5,6.75,0,0,0,0,0,0,3,4,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49,Mizuna,26.0,18.5,4.0,35.5,0.5,6.75,0,0,0,0,0,0,4,4,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
50,Mustard,26.0,18.5,4.0,40.0,1.5,6.75,0,0,0,0,0,0,3,2,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
51,Okra,35.0,18.5,6.0,55.0,1.5,6.75,0,0,0,0,0,0,4,2,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
